,index,file_extension,title,author
47,2473,../data/gutenberg/Jonathan Swift___The Bickerstaff-Partridge Papers.txt,The Bickerstaff-Partridge Papers,Jonathan Swift
48,2891,"../data/gutenberg/Thomas Carlyle___History of Friedrich II of Prussia, Volume 17.txt","History of Friedrich II of Prussia, Volume 17",Thomas Carlyle
49,1758,../data/gutenberg/Bret Harte___In a Hollow of the Hills.txt,In a Hollow of the Hills,Bret Harte
50,1293,../data/gutenberg/William Butler Yeats___The Trembling of the Veil.txt,The Trembling of the Veil,William Butler Yeats
51,825,../data/gutenberg/Ulysses Grant___Letters of Ulysses S. Grant.txt,Letters of Ulysses S. Grant,Ulysses Grant
52,1621,../data/gutenberg/Bret Harte___Dickens in Camp.txt,Dickens in Camp,Bret Harte
53,909,../data/gutenberg/Nathaniel Hawthorne___Grandfather's Chair.txt,Grandfather's Chair,Nathaniel Hawthorne
54,2207,../data/gutenberg/Lyman Frank Baum___Aunt Jane's Nieces Abroad.txt,Aunt Jane's Nieces Abroad,Lyman Frank Baum
55,719,../data/gutenberg/William Dean Howells___A Likely Story.txt,A Likely Story,William Dean Howells
56,119,../data/gutenberg/James Fenimore Cooper___Recollections of Europe.txt,Recollections of Europe,James Fenimore Cooper
57,982,../data/gutenberg/Thornton Waldo Burgess___The Adventures of Unc' Billy Possum.txt,The Adventures of Unc' Billy Possum,Thornton Waldo Burgess
58,2125,../data/gutenberg/Edward Phillips Oppenheim___Peter Ruff and the Double Four.txt,Peter Ruff and the Double Four,Edward Phillips Oppenheim
59,1945,../data/gutenberg/Henry James___The Awkward Age.txt,The Awkward Age,Henry James
60,2210,../data/gutenberg/William Dean Howells___A Boy's Town.txt,A Boy's Town,William Dean Howells
61,895,../data/gutenberg/Edmund Burke___Burke's Speech on Conciliation with America.txt,Burke's Speech on Conciliation with America,Edmund Burke
62,2515,../data/gutenberg/Harold Bindloss___The Protector.txt,The Protector,Harold Bindloss
63,2988,../data/gutenberg/John Galsworthy___The Mob.txt,The Mob,John Galsworthy
64,2696,../data/gutenberg/Anthony Trollope___Castle Richmond.txt,Castle Richmond,Anthony Trollope
65,2017,../data/gutenberg/Benjamin Disraeli___Tancred.txt,Tancred,Benjamin Disraeli
66,2500,../data/gutenberg/Anthony Trollope___The Duke's Children.txt,The Duke's Children,Anthony Trollope
67,1239,../data/gutenberg/Sir Arthur Conan Doyle___The Adventure of the Bruce-Partington Plans.txt,The Adventure of the Bruce-Partington Plans,Sir Arthur Conan Doyle
68,2072,../data/gutenberg/Andrew Lang___The Book of Dreams and Ghosts.txt,The Book of Dreams and Ghosts,Andrew Lang
69,215,../data/gutenberg/John Galsworthy___Villa Rubein and Other Stories.txt,Villa Rubein and Other Stories,John Galsworthy
70,701,../data/gutenberg/Beatrix Potter___The Tale of Samuel Whiskers.txt,The Tale of Samuel Whiskers,Beatrix Potter
71,2538,../data/gutenberg/John Galsworthy___Inn of Tranquility and Other Essays.txt,Inn of Tranquility and Other Essays,John Galsworthy
72,392,../data/gutenberg/T S Eliot___The Waste Land.txt,The Waste Land,T S Eliot
73,27,"../data/gutenberg/Robert Louis Stevenson___The Works of Robert Louis Stevenson - Swanston Edition, Volume 4.txt","The Works of Robert Louis Stevenson - Swanston Edition, Volume 4",Robert Louis Stevenson
74,2802,../data/gutenberg/Edward Phillips Oppenheim___The Mischief Maker.txt,The Mischief Maker,Edward Phillips Oppenheim
75,1885,../data/gutenberg/Thomas Hardy___The Trumpet-Major.txt,The Trumpet-Major,Thomas Hardy
76,478,"../data/gutenberg/Leigh Hunt___Stories from the Italian Poets: With Lives of the Writers, Volume 2.txt","Stories from the Italian Poets: With Lives of the Writers, Volume 2",Leigh Hunt
77,2381,../data/gutenberg/Herbert Spencer___Essays on Education and Kindred Subjects.txt,Essays on Education and Kindred Subjects,Herbert Spencer
78,2433,../data/gutenberg/Rudyard Kipling___An Almanac of Twelve Sports.txt,An Almanac of Twelve Sports,Rudyard Kipling
79,1160,../data/gutenberg/Harold Bindloss___For Jacinta.txt,For Jacinta,Harold Bindloss
80,1009,"../data/gutenberg/Robert Louis Stevenson___The Works of Robert Louis Stevenson - Swanston Edition, Volume 24.txt","The Works of Robert Louis Stevenson - Swanston Edition, Volume 24",Robert Louis Stevenson
81,720,../data/gutenberg/Nathaniel Hawthorne___Fanshawe.txt,Fanshawe,Nathaniel Hawthorne
82,2090,../data/gutenberg/Robert Louis Stevenson___New Poems.txt,New Poems,Robert Louis Stevenson
83,2935,../data/gutenberg/Charlotte Mary Yonge___Heartsease.txt,Heartsease,Charlotte Mary Yonge
84,1570,../data/gutenberg/William Makepeace Thackeray___The Fitz-Boodle Papers.txt,The Fitz-Boodle Papers,William Makepeace Thackeray
85,619,../data/gutenberg/Thomas Henry Huxley___The Darwinian Hypothesis.txt,The Darwinian Hypothesis,Thomas Henry Huxley
86,711,../data/gutenberg/Bram Stoker___The Man.txt,The Man,Bram Stoker
87,1841,../data/gutenberg/Robert Louis Stevenson___Essays of Robert Louis Stevenson.txt,Essays of Robert Louis Stevenson,Robert Louis Stevenson
88,1281,../data/gutenberg/Henry Rider Haggard___Love Eternal.txt,Love Eternal,Henry Rider Haggard
89,2541,../data/gutenberg/John Morley___Diderot and the Encyclopædists (Vol 2 of 2).txt,Diderot and the Encyclopædists (Vol 2 of 2),John Morley
90,1983,../data/gutenberg/Sir Walter Scott___Old Mortality.txt,Old Mortality,Sir Walter Scott
91,1359,../data/gutenberg/Andrew Lang___The Blue Fairy Book.txt,The Blue Fairy Book,Andrew Lang
92,2741,../data/gutenberg/Samuel Taylor Coleridge___The Rime of the Ancient Mariner.txt,The Rime of the Ancient Mariner,Samuel Taylor Coleridge
93,1739,../data/gutenberg/George Alfred Henty___A Girl of the Commune.txt,A Girl of the Commune,George Alfred Henty
94,563,../data/gutenberg/Bret Harte___Mr. Jack Hamlin's Mediation and Other Stories.txt,Mr. Jack Hamlin's Mediation and Other Stories,Bret Harte
95,2393,../data/gutenberg/Lyman Frank Baum___The Marvellous Land of Oz.txt,The Marvellous Land of Oz,Lyman Frank Baum
96,849,"../data/gutenberg/George Alfred Henty___Friends, though divided.txt","Friends, though divided",George Alfred Henty
97,1457,"../data/gutenberg/William Wymark Jacobs___Family Cares, Deep Waters, Part 7.txt","Family Cares, Deep Waters, Part 7",William Wymark Jacobs
98,188,../data/gutenberg/Nathaniel Hawthorne___Passages From the English Notebooks.txt,Passages From the English Notebooks,Nathaniel Hawthorne
99,2570,../data/gutenberg/Daniel Defoe___A True Relation of the Apparition of one Mrs. Veal.txt,A True Relation of the Apparition of one Mrs. Veal,Daniel Defoe
100,2303,../data/gutenberg/Beatrix Potter___The Tale of the Flopsy Bunnies.txt,The Tale of the Flopsy Bunnies,Beatrix Potter
101,2337,../data/gutenberg/R M Ballantyne___The Thorogood Family.txt,The Thorogood Family,R M Ballantyne
102,2776,../data/gutenberg/Joseph Conrad___'Twixt Land & Sea.txt,'Twixt Land & Sea,Joseph Conrad
103,791,../data/gutenberg/Anthony Trollope___Phineas Finn.txt,Phineas Finn,Anthony Trollope
104,2116,../data/gutenberg/Charles Dickens___Pictures from Italy.txt,Pictures from Italy,Charles Dickens
105,1366,../data/gutenberg/Herbert George Wells___Certain Personal Matters.txt,Certain Personal Matters,Herbert George Wells
106,2243,../data/gutenberg/William Dean Howells___Dr. Breen's Practice.txt,Dr. Breen's Practice,William Dean Howells
107,1139,../data/gutenberg/P G Wodehouse___Death At The Excelsior.txt,Death At The Excelsior,P G Wodehouse
108,2162,"../data/gutenberg/Thomas Henry Huxley___Lay Sermons, Addresses and Reviews.txt","Lay Sermons, Addresses and Reviews",Thomas Henry Huxley
109,1529,../data/gutenberg/Thomas Carlyle___Sartor Resartus.txt,Sartor Resartus,Thomas Carlyle
110,2844,"../data/gutenberg/Robert Louis Stevenson___The Works of Robert Louis Stevenson - Swanston Edition, Volume 22.txt","The Works of Robert Louis Stevenson - Swanston Edition, Volume 22",Robert Louis Stevenson
111,597,../data/gutenberg/Charles Dickens___Going into Society.txt,Going into Society,Charles Dickens
112,314,../data/gutenberg/Harold Bindloss___For the Allinson Honor.txt,For the Allinson Honor,Harold Bindloss
113,995,"../data/gutenberg/Washington Irving___Bracebridge Hall, or The Humorists.txt","Bracebridge Hall, or The Humorists",Washington Irving
114,37,../data/gutenberg/John Stuart Mill___Autobiography.txt,Autobiography,John Stuart Mill
115,425,../data/gutenberg/Benjamin Disraeli___Ixion In Heaven.txt,Ixion In Heaven,Benjamin Disraeli
116,2109,../data/gutenberg/Robert Louis Stevenson___Underwoods.txt,Underwoods,Robert Louis Stevenson
117,2726,"../data/gutenberg/Sir Walter Scott___The Dramatic Works of John Dryden, Volume I.txt","The Dramatic Works of John Dryden, Volume I",Sir Walter Scott
118,1515,../data/gutenberg/Henry Rider Haggard___Dawn.txt,Dawn,Henry Rider Haggard
119,751,../data/gutenberg/Lyman Frank Baum___Dot and Tot of Merryland.txt,Dot and Tot of Merryland,Lyman Frank Baum
120,2200,../data/gutenberg/Sir Walter Scott___Trial of Duncan Terig.txt,Trial of Duncan Terig,Sir Walter Scott
121,880,../data/gutenberg/Charlotte Mary Yonge___Dynevor Terrace (Vol. I).txt,Dynevor Terrace (Vol. I),Charlotte Mary Yonge
122,299,"../data/gutenberg/Herbert George Wells___Text Book of Biology, Part 1: Vertebrata.txt","Text Book of Biology, Part 1: Vertebrata",Herbert George Wells
123,443,../data/gutenberg/R M Ballantyne___The Lighthouse.txt,The Lighthouse,R M Ballantyne
124,1065,../data/gutenberg/Ulysses Grant___Personal Memoirs of U. S. Grant.txt,Personal Memoirs of U. S. Grant,Ulysses Grant
125,1260,"../data/gutenberg/Sir Walter Scott___The Tapestried Chamber, and Death of the Laird's Jock.txt","The Tapestried Chamber, and Death of the Laird's Jock",Sir Walter Scott
126,596,../data/gutenberg/John Stuart Mill___On Liberty.txt,On Liberty,John Stuart Mill
127,1063,"../data/gutenberg/Sir Walter Scott___Woodstock; or, The Cavalier.txt","Woodstock; or, The Cavalier",Sir Walter Scott
128,879,../data/gutenberg/Thomas Hardy___Far from the Madding Crowd.txt,Far from the Madding Crowd,Thomas Hardy
129,1070,../data/gutenberg/Jacob Abbott___History of Julius Caesar.txt,History of Julius Caesar,Jacob Abbott
130,667,../data/gutenberg/Sir Winston Churchill___London to Ladysmith via Pretoria.txt,London to Ladysmith via Pretoria,Sir Winston Churchill
131,1955,../data/gutenberg/Edward Phillips Oppenheim___The Lost Ambassador.txt,The Lost Ambassador,Edward Phillips Oppenheim
132,1452,../data/gutenberg/Charles Dickens___The Letters of Charles Dickens Volume 3.txt,The Letters of Charles Dickens Volume 3,Charles Dickens
133,546,../data/gutenberg/G K Chesterton___Utopia of Usurers and other Essays.txt,Utopia of Usurers and other Essays,G K Chesterton
134,2671,"../data/gutenberg/P G Wodehouse___Right Ho, Jeeves.txt","Right Ho, Jeeves",P G Wodehouse
135,2066,"../data/gutenberg/Abraham Lincoln___The Writings of Abraham Lincoln, Volume 2: 1843-1858.txt","The Writings of Abraham Lincoln, Volume 2: 1843-1858",Abraham Lincoln
136,2253,"../data/gutenberg/Abraham Lincoln___The Writings of Abraham Lincoln, Volume 6: 1862-1863.txt","The Writings of Abraham Lincoln, Volume 6: 1862-1863",Abraham Lincoln
137,666,../data/gutenberg/Jack London___The Faith of Men.txt,The Faith of Men,Jack London
138,2432,../data/gutenberg/R M Ballantyne___Erling the Bold.txt,Erling the Bold,R M Ballantyne
139,1853,../data/gutenberg/Edward Stratemeyer___The Rover Boys on the Great Lakes.txt,The Rover Boys on the Great Lakes,Edward Stratemeyer
140,2052,../data/gutenberg/R M Ballantyne___Fort Desolation.txt,Fort Desolation,R M Ballantyne
141,1237,"../data/gutenberg/Henry David Thoreau___Walden, and On The Duty Of Civil Disobedience.txt","Walden, and On The Duty Of Civil Disobedience",Henry David Thoreau
142,1420,../data/gutenberg/Andrew Lang___Custom and Myth.txt,Custom and Myth,Andrew Lang
143,191,../data/gutenberg/John Galsworthy___Another Sheaf.txt,Another Sheaf,John Galsworthy
144,1851,../data/gutenberg/George Bernard Shaw___Augustus Does His Bit.txt,Augustus Does His Bit,George Bernard Shaw
145,2232,../data/gutenberg/Bret Harte___The Three Partners.txt,The Three Partners,Bret Harte
146,1224,"../data/gutenberg/William Wordsworth___Lyrical Ballads, With Other Poems, 1800, Volume 2.txt","Lyrical Ballads, With Other Poems, 1800, Volume 2",William Wordsworth
147,518,../data/gutenberg/Thomas Henry Huxley___Hasisadra's Adventure.txt,Hasisadra's Adventure,Thomas Henry Huxley
148,700,../data/gutenberg/Bret Harte___Legends and Tales.txt,Legends and Tales,Bret Harte
149,2759,../data/gutenberg/Nathaniel Hawthorne___An Old Woman's Tale.txt,An Old Woman's Tale,Nathaniel Hawthorne
150,2764,../data/gutenberg/Charlotte Mary Yonge___Young Folks' History of Rome.txt,Young Folks' History of Rome,Charlotte Mary Yonge
151,229,../data/gutenberg/Charles Dickens___Captain Boldheart & the Latin-Grammar Master.txt,Captain Boldheart & the Latin-Grammar Master,Charles Dickens
152,351,../data/gutenberg/William Dean Howells___London Films.txt,London Films,William Dean Howells
153,838,../data/gutenberg/Henry James___Some Short Stories.txt,Some Short Stories,Henry James
154,2980,../data/gutenberg/Mark Twain___Roughing It.txt,Roughing It,Mark Twain
155,1385,../data/gutenberg/Andrew Lang___Cock Lane and Common-Sense.txt,Cock Lane and Common-Sense,Andrew Lang
156,1665,"../data/gutenberg/Jack London___Michael, Brother of Jerry.txt","Michael, Brother of Jerry",Jack London
157,564,../data/gutenberg/Herbert George Wells___The First Men In The Moon.txt,The First Men In The Moon,Herbert George Wells
158,2347,../data/gutenberg/Charles Dickens___Miscellaneous Papers.txt,Miscellaneous Papers,Charles Dickens
159,1190,../data/gutenberg/R M Ballantyne___The Lively Poll.txt,The Lively Poll,R M Ballantyne
160,2973,"../data/gutenberg/Rudyard Kipling___Kipling Stories and Poems Every Child Should Know, Book II.txt","Kipling Stories and Poems Every Child Should Know, Book II",Rudyard Kipling
161,2874,../data/gutenberg/John Galsworthy___The Burning Spear.txt,The Burning Spear,John Galsworthy
162,405,../data/gutenberg/Sir Walter Scott___A Legend of Montrose.txt,A Legend of Montrose,Sir Walter Scott
163,1300,../data/gutenberg/Edward Stratemeyer___The Rover Boys in Camp.txt,The Rover Boys in Camp,Edward Stratemeyer
164,57,../data/gutenberg/Rudyard Kipling___Actions and Reactions.txt,Actions and Reactions,Rudyard Kipling
165,2307,../data/gutenberg/George Eliot___The Lifted Veil.txt,The Lifted Veil,George Eliot
166,731,../data/gutenberg/Charles Darwin___The Variation of Animals and Plants under Domestication Volume I.txt,The Variation of Animals and Plants under Domestication Volume I,Charles Darwin
167,2656,"../data/gutenberg/Abraham Lincoln___The Writings of Abraham Lincoln, Volume 1: 1832-1843.txt","The Writings of Abraham Lincoln, Volume 1: 1832-1843",Abraham Lincoln
168,2697,"../data/gutenberg/James Russell Lowell___The Writings of James Russell Lowell in Prose and Poetry, Volume V.txt","The Writings of James Russell Lowell in Prose and Poetry, Volume V",James Russell Lowell
169,238,"../data/gutenberg/William Wymark Jacobs___Cupboard Love, The Lady of the Barge and Others, Part 5.txt","Cupboard Love, The Lady of the Barge and Others, Part 5",William Wymark Jacobs
170,2822,../data/gutenberg/John Ruskin___Frondes Agrestes.txt,Frondes Agrestes,John Ruskin
171,2915,../data/gutenberg/George Alfred Henty___Saint George for England.txt,Saint George for England,George Alfred Henty
172,1798,../data/gutenberg/Zane Grey___The Desert of Wheat.txt,The Desert of Wheat,Zane Grey
173,1212,../data/gutenberg/Mark Twain___Those Extraordinary Twins.txt,Those Extraordinary Twins,Mark Twain
174,402,"../data/gutenberg/William Wymark Jacobs___Good Intentions, Ship's Company, Part 3.txt","Good Intentions, Ship's Company, Part 3",William Wymark Jacobs
175,1098,../data/gutenberg/Charlotte Bronte___Villette.txt,Villette,Charlotte Bronte
176,2288,../data/gutenberg/Daniel Defoe___The Further Adventures of Robinson Crusoe.txt,The Further Adventures of Robinson Crusoe,Daniel Defoe
177,924,../data/gutenberg/Charlotte Mary Yonge___Grisly Grisell.txt,Grisly Grisell,Charlotte Mary Yonge
178,1042,../data/gutenberg/Thornton Waldo Burgess___Happy Jack.txt,Happy Jack,Thornton Waldo Burgess
179,670,../data/gutenberg/Bret Harte___Maruja.txt,Maruja,Bret Harte
180,1396,../data/gutenberg/Louisa May Alcott___Comic Tragedies.txt,Comic Tragedies,Louisa May Alcott
181,452,../data/gutenberg/R M Ballantyne___The Coral Island.txt,The Coral Island,R M Ballantyne
182,134,"../data/gutenberg/Jonathan Swift___The Prose Works of Jonathan Swift, D.D., Volume 6.txt","The Prose Works of Jonathan Swift, D.D., Volume 6",Jonathan Swift
183,2356,"../data/gutenberg/James Otis___Neal, the Miller.txt","Neal, the Miller",James Otis
184,927,../data/gutenberg/Oscar Wilde___Essays and Lectures.txt,Essays and Lectures,Oscar Wilde
185,1263,../data/gutenberg/Philip Kindred Dick___Second Variety.txt,Second Variety,Philip Kindred Dick
186,2780,../data/gutenberg/Herbert George Wells___The New Machiavelli.txt,The New Machiavelli,Herbert George Wells
187,487,../data/gutenberg/Robert Burns___The Letters of Robert Burns.txt,The Letters of Robert Burns,Robert Burns
188,2399,../data/gutenberg/George Bernard Shaw___The Shewing-up of Blanco Posnet.txt,The Shewing-up of Blanco Posnet,George Bernard Shaw
189,1002,../data/gutenberg/Robert Louis Stevenson___Fables.txt,Fables,Robert Louis Stevenson
190,438,../data/gutenberg/William Butler Yeats___The Celtic Twilight.txt,The Celtic Twilight,William Butler Yeats
191,748,../data/gutenberg/Nathaniel Hawthorne___The Snow Image.txt,The Snow Image,Nathaniel Hawthorne
192,244,../data/gutenberg/James Matthew Barrie___The Admirable Crichton.txt,The Admirable Crichton,James Matthew Barrie
193,609,../data/gutenberg/Harold Bindloss___Prescott of Saskatchewan.txt,Prescott of Saskatchewan,Harold Bindloss
194,2054,../data/gutenberg/Philip Kindred Dick___The Eyes Have It.txt,The Eyes Have It,Philip Kindred Dick
195,2265,../data/gutenberg/Frank Richard Stockton___The Squirrel Inn.txt,The Squirrel Inn,Frank Richard Stockton
196,2860,../data/gutenberg/George Alfred Henty___On the Irrawaddy.txt,On the Irrawaddy,George Alfred Henty
197,1410,../data/gutenberg/Hector Hugh Munro___The Chronicles of Clovis.txt,The Chronicles of Clovis,Hector Hugh Munro
198,1471,"../data/gutenberg/William Wymark Jacobs___The Boatswain's Mate, Captains All, Book 2.txt","The Boatswain's Mate, Captains All, Book 2",William Wymark Jacobs
199,1839,"../data/gutenberg/Ambrose Bierce___The Shadow On The Dial, and Other Essays.txt","The Shadow On The Dial, and Other Essays",Ambrose Bierce
200,2918,../data/gutenberg/George Eliot___Middlemarch.txt,Middlemarch,George Eliot
201,1487,"../data/gutenberg/Nathaniel Hawthorne___A Rill from the Town Pump (From ""Twice Told Tales"").txt","A Rill from the Town Pump (From ""Twice Told Tales"")",Nathaniel Hawthorne
202,330,../data/gutenberg/Lyman Frank Baum___The Sea Fairies.txt,The Sea Fairies,Lyman Frank Baum
203,1056,../data/gutenberg/Thomas Hardy___Life's Little Ironies.txt,Life's Little Ironies,Thomas Hardy
204,1958,../data/gutenberg/Louisa May Alcott___Silver Pitchers: and Independence.txt,Silver Pitchers: and Independence,Louisa May Alcott
205,1122,../data/gutenberg/D H Lawrence___Women in Love.txt,Women in Love,D H Lawrence
206,426,../data/gutenberg/Sir Walter Scott___Some Poems.txt,Some Poems,Sir Walter Scott
207,958,../data/gutenberg/Herbert George Wells___New Worlds For Old.txt,New Worlds For Old,Herbert George Wells
208,1763,"../data/gutenberg/William Wymark Jacobs___Blundell's Improvement, Odd Craft, Part 3.txt","Blundell's Improvement, Odd Craft, Part 3",William Wymark Jacobs
209,2878,../data/gutenberg/John Galsworthy___The Eldest Son.txt,The Eldest Son,John Galsworthy
210,910,../data/gutenberg/Rafael Sabatini___The Shame of Motley.txt,The Shame of Motley,Rafael Sabatini
211,2785,../data/gutenberg/Zane Grey___Valley of Wild Horses.txt,Valley of Wild Horses,Zane Grey
212,1061,"../data/gutenberg/Henry James___A Little Tour in France, Version 1.txt","A Little Tour in France, Version 1",Henry James
213,517,../data/gutenberg/Jacob Abbott___Pyrrhus.txt,Pyrrhus,Jacob Abbott
214,778,"../data/gutenberg/John Dryden___The Poetical Works of John Dryden, Volume 1.txt","The Poetical Works of John Dryden, Volume 1",John Dryden
215,1174,../data/gutenberg/Bret Harte___Complete Poetical Works of Bret Harte.txt,Complete Poetical Works of Bret Harte,Bret Harte
216,905,../data/gutenberg/Herbert George Wells___The History of Mr. Polly.txt,The History of Mr. Polly,Herbert George Wells
217,2725,../data/gutenberg/William Makepeace Thackeray___John Leech's Pictures of Life and Character.txt,John Leech's Pictures of Life and Character,William Makepeace Thackeray
218,2412,../data/gutenberg/William Makepeace Thackeray___The Wolves and the Lamb.txt,The Wolves and the Lamb,William Makepeace Thackeray
219,581,"../data/gutenberg/Edmund Burke___The Works of the Right Honourable Edmund Burke, Vol. 09 (of 12).txt","The Works of the Right Honourable Edmund Burke, Vol. 09 (of 12)",Edmund Burke
220,812,../data/gutenberg/Charlotte Mary Yonge___Unknown to History.txt,Unknown to History,Charlotte Mary Yonge
221,459,../data/gutenberg/Nathaniel Hawthorne___Time's Portraiture.txt,Time's Portraiture,Nathaniel Hawthorne
222,1779,../data/gutenberg/Sir Arthur Conan Doyle___The Adventure of the Red Circle.txt,The Adventure of the Red Circle,Sir Arthur Conan Doyle
223,817,"../data/gutenberg/Rafael Sabatini___The Historical Nights' Entertainment, First Series.txt","The Historical Nights' Entertainment, First Series",Rafael Sabatini
224,303,../data/gutenberg/George Bernard Shaw___Man And Superman.txt,Man And Superman,George Bernard Shaw
